,hole,p1,p2,p3,p4,p5,p6,par,averagePar,diff
0,1,6,4,5,5,4,7,5,5.166666666666667,0.16666666666666696
1,2,4,3,4,4,4,6,4,4.166666666666667,0.16666666666666696
2,3,5,5,4,3,4,3,5,4.0,-1.0
3,4,4,3,5,4,3,3,3,3.6666666666666665,0.6666666666666665
4,5,4,3,3,4,3,3,4,3.3333333333333335,-0.6666666666666665
5,6,4,5,4,4,3,4,4,4.0,0.0
6,7,3,4,4,4,4,4,4,3.8333333333333335,-0.16666666666666652
7,8,4,3,3,2,3,2,3,2.8333333333333335,-0.16666666666666652
8,9,5,4,5,4,4,4,4,4.333333333333333,0.33333333333333304
9,10,3,4,4,4,4,3,4,3.6666666666666665,-0.3333333333333335
10,11,5,4,5,5,5,5,5,4.833333333333333,-0.16666666666666696
11,12,4,3,4,4,4,5,4,4.0,0.0
12,13,4,4,4,5,3,4,4,4.0,0.0
13,14,4,3,3,3,3,3,3,3.1666666666666665,0.16666666666666652
14,15,4,3,4,4,4,4,4,3.8333333333333335,-0.16666666666666652
15,16,3,3,4,3,2,3,3,3.0,0.0
16,17,4,4,5,4,4,3,4,4.0,0.0
17,18,5,6,5,6,5,7,5,5.666666666666667,0.666666666666667
