,p1,p2,p3,p4,p5,par,hole,averagePar,diff
0,4,4,4,5,5,5,1,4.4,-0.5999999999999996
1,4,4,4,3,4,4,2,3.8,-0.20000000000000018
2,5,4,4,4,4,5,3,4.2,-0.7999999999999998
3,2,3,3,3,3,3,4,2.8,-0.20000000000000018
4,3,4,4,4,4,4,5,3.8,-0.20000000000000018
5,3,3,3,3,4,4,6,3.2,-0.7999999999999998
6,4,6,4,4,4,4,7,4.4,0.40000000000000036
7,3,4,3,4,4,3,8,3.6,0.6000000000000001
8,3,4,4,4,3,4,9,3.6,-0.3999999999999999
9,4,4,4,4,4,4,10,4.0,0.0
10,6,5,5,5,5,5,11,5.2,0.20000000000000018
11,3,5,5,4,4,4,12,4.2,0.20000000000000018
12,3,5,4,3,4,4,13,3.8,-0.20000000000000018
13,3,3,3,4,3,3,14,3.2,0.20000000000000018
14,4,4,4,4,5,4,15,4.2,0.20000000000000018
15,2,3,3,3,2,3,16,2.6,-0.3999999999999999
16,5,4,4,4,4,4,17,4.2,0.20000000000000018
17,3,4,6,6,4,5,18,4.6,-0.40000000000000036
